No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
1,Fighter Hall,96,65,32.3%,Rp2.200.000,Rp70.000 - Rp100.000
2,Homeground Padel Kedoya,60,45,25.0%,Rp3.000.000,Rp150.000 - Rp200.000
3,Avion Sports Center,128,106,17.2%,Rp13.200.000,Rp200.000 - Rp1.000.000
4,Sunday Padel - Meruya,75,41,45.3%,Rp3.366.000,Rp99.000
5,Homeground Padel Premiere Kedoya,30,24,20.0%,Rp1.500.000,Rp250.000
6,Orange Garden Padel Club,56,49,12.5%,Rp966.000,Rp138.000
7,Westside Padel,56,23,58.9%,Rp7.755.000,Rp235.000
8,Padel One Club,60,9,85.0%,Rp5.049.000,Rp99.000
9,EZ Padel Tomang,64,48,25.0%,Rp3.423.996,Rp169.000 - Rp348.999
10,Max Padel,112,90,19.6%,Rp5.725.000,Rp175.000 - Rp300.000
11,The Citadel,84,49,41.7%,Rp11.310.000,Rp300.000 - Rp330.000
12,Padel at largo - Kedoya,45,24,46.7%,Rp3.129.000,Rp149.000
13,Vlocity Arena,160,87,45.6%,Rp14.456.500,Rp78.000 - Rp330.000
14,Boss Padel - Kedoya,80,59,26.2%,Rp3.525.000,Rp100.000 - Rp175.000
15,Juego Padel Club (JPC),105,86,18.1%,Rp3.040.000,Rp160.000 - Rp250.000
16,Stone Padel - Citra Garden City,64,47,26.6%,Rp1.700.000,Rp100.000 - Rp200.000
17,Daily Court,96,82,14.6%,Rp2.280.000,Rp100.000 - Rp210.000
18,River Padel,42,35,16.7%,Rp1.743.000,Rp249.000
19,KSC Racquet Club,120,67,44.2%,Rp15.135.000,Rp100.000 - Rp305.000
20,Anwa Racquet Privé (ex Anwa Tennis Club),140,95,32.1%,Rp13.194.000,Rp200.000 - Rp300.000
21,Padel Spot,90,66,26.7%,Rp3.600.000,Rp150.000
22,IPC Padel Club Kedoya,128,64,50.0%,Rp9.600.000,Rp150.000
23,Badel Padel,64,41,35.9%,Rp3.725.000,Rp100.000 - Rp175.000
24,Base Padel,45,40,11.1%,Rp975.000,Rp195.000
25,Patra Padel House,13,13,0.0%,Rp0,Rp200.000
26,Terra Padel Court,32,28,12.5%,Rp596.000,Rp149.000
27,Tinny Padel,14,8,42.9%,Rp750.000,Rp125.000 - Rp188.000
28,Kobana Padel,48,31,35.4%,Rp3.720.000,Rp200.000 - Rp240.000
29,Padelgrounds,60,21,65.0%,Rp4.596.000,Rp99.000 - Rp120.000
30,Glass House Padel,28,5,82.1%,Rp3.784.000,Rp149.000 - Rp200.000
31,Sini Padel Court,75,53,29.3%,Rp2.838.000,Rp125.000 - Rp129.000
32,Xcite Padel,60,37,38.3%,Rp3.680.000,Rp160.000
33,Hobi Padel Meruya,64,38,40.6%,Rp3.008.000,Rp98.000 - Rp148.000
34,The Padel Point,60,48,20.0%,Rp2.400.000,Rp150.000 - Rp200.000
35,RacketGo Citra 5,64,33,48.4%,Rp4.785.000,Rp125.000 - Rp190.000
36,La Chiquita Padel,28,20,28.6%,Rp1.600.000,Rp200.000
37,Padre Padel Duri Kosambi,64,54,15.6%,Rp1.500.000,Rp150.000
38,Padeloo,48,30,37.5%,Rp1.974.000,Rp99.000 - Rp195.000
39,CPH Citra Padel House,45,16,64.4%,Rp2.700.000,Rp90.000 - Rp135.000
40,Vamos Arena Indonesia,160,130,18.8%,Rp9.100.000,Rp300.000 - Rp350.000
41,Playfieldcourt - Palmerah,64,30,53.1%,Rp16.170.000,Rp135.000 - Rp495.000
42,The Level 9 Padel,176,172,2.3%,Rp525.000,Rp125.000 - Rp150.000
43,Como Padel Court,56,44,21.4%,Rp1.718.000,Rp99.000 - Rp200.000
44,World Padel,45,31,31.1%,Rp2.225.000,Rp50.000 - Rp225.000
45,Padelin,48,22,54.2%,Rp2.820.000,Rp70.000 - Rp200.000
46,Courtyard Padel Club,91,75,17.6%,Rp4.185.000,Rp195.000 - Rp570.000
47,Padel On Mars,26,26,0.0%,Rp0,Rp135.000 - Rp155.000
48,Padel Meruya Airdome,90,56,37.8%,Rp12.366.000,Rp349.000 - Rp399.000
49,Hachi Padel Puri Indah Jakarta,60,47,21.7%,Rp3.744.000,Rp288.000
50,JC Padel Kedoya,26,15,42.3%,Rp1.222.221,Rp111.111 - Rp222.222
51,Tennis Padel Matic Mal Ciputra,60,53,11.7%,Rp1.025.000,Rp125.000 - Rp160.000
52,Paddle Padel,32,29,9.4%,Rp600.000,Rp200.000
53,Roots Padel House,15,14,6.7%,Rp149.000,Rp149.000
54,Coco Padel Court Jakarta,42,27,35.7%,Rp2.500.000,Rp150.000 - Rp200.000
55,Zplay Padel,48,43,10.4%,Rp400.000,Rp80.000 - Rp175.000
56,PPC - Puri Padel Club,28,12,57.1%,Rp3.600.000,Rp225.000
57,Donkey Padel,32,31,3.1%,Rp99.000,Rp99.000 - Rp149.000
58,Sunrise Padel - Sunrise Garden,60,56,6.7%,Rp596.000,Rp149.000
59,Ace Padel Club (APC) - Jalan Panjang Kedoya,78,52,33.3%,Rp4.075.000,Rp100.000 - Rp159.000
60,Padel Quarter,64,43,32.8%,Rp2.680.000,Rp80.000 - Rp150.000
61,ZEN PADEL,28,25,10.7%,Rp248.000,Rp50.000 - Rp99.000
62,Go 2 Padel,30,25,16.7%,Rp375.000,Rp75.000 - Rp150.000
63,YOLO Padel and Lifestyle Slipi,28,28,0.0%,Rp0,Rp300.000
